,exec_date,countrycode,name_server,ns_ip,ns_ipv6,asnv4,asnv6,ccv4,ccv6
0,2019-10-29,"BJ
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
1,2019-10-29,"BI
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
2,2019-10-29,"COM
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
3,2019-10-29,"SN
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
4,2019-10-29,"ZA
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
5,2019-10-29,"US
",U,Failed,Failed,Unknown,Unknown,Unknown,Unknown
6,2019-10-29,JP,h.dns.JP.,65.22.40.25,2a01:8840:1ba::25,12041,12041,US,IE
7,2019-10-29,JP,c.dns.JP.,156.154.100.5,2001:502:ad09::5,397219,397213,US,Unknown
8,2019-10-29,JP,e.dns.JP.,192.50.43.53,2001:200:c000::35,23634,23634,JP,Unknown
9,2019-10-29,JP,f.dns.JP.,150.100.6.8,2001:2f8:0:100::153,2907,2907,JP,Unknown
10,2019-10-29,JP,b.dns.JP.,202.12.30.131,2001:dc2::1,2515,2515,AU,Unknown
11,2019-10-29,JP,d.dns.JP.,210.138.175.244,2001:240::53,2497,2497,US,Unknown
12,2019-10-29,JP,g.dns.JP.,203.119.40.1,Failed,24252,Unknown,AU,Unknown
13,2019-10-29,JP,a.dns.JP.,203.119.1.1,2001:dc4::1,23774,23774,AU,Unknown
