,exec_date,ns,dns_plain,edns_plain,edns_unknw,edns_unknwopt,edns_unknwflag,edns_dnssec,edns_trunc,edns_unknwveropt,edns_tcp
0,2019-10-29,ns.cocca.fr.,0,0,0,0,0,0,0,0,0
1,2019-10-29,pch.nic.BJ.,0,0,0,0,0,0,0,0,0
2,2019-10-29,ns-bj.nic.fr.,0,0,0,0,0,0,0,0,0
3,2019-10-29,ns2.nic.BJ.,0,0,0,0,0,0,0,0,0
4,2019-10-29,ns1.nic.BJ.,0,0,0,0,0,0,0,0,0
5,2019-10-29,ns1.nic.BI.,0,0,0,0,0,0,0,0,0
6,2019-10-29,anyns.nic.BI.,0,0,0,0,0,0,0,0,0
7,2019-10-29,ns-bi.afrinic.net.,0,0,0,0,0,0,0,0,0
8,2019-10-29,bi.cctld.authdns.ripe.net.,0,0,0,0,0,0,0,0,0
9,2019-10-29,ns.nic.BI.,0,0,0,0,0,0,0,0,0
10,2019-10-29,h.gtld-servers.net.,1,1,1,1,1,1,1,1,1
11,2019-10-29,k.gtld-servers.net.,1,1,1,1,1,1,1,1,1
12,2019-10-29,g.gtld-servers.net.,1,1,1,1,1,1,1,1,1
13,2019-10-29,d.gtld-servers.net.,1,1,1,1,1,1,1,1,1
14,2019-10-29,f.gtld-servers.net.,1,1,1,1,1,1,1,1,1
15,2019-10-29,c.gtld-servers.net.,1,1,1,1,1,1,1,1,1
16,2019-10-29,e.gtld-servers.net.,1,1,1,1,1,1,1,1,1
17,2019-10-29,j.gtld-servers.net.,1,1,1,1,1,1,1,1,1
18,2019-10-29,m.gtld-servers.net.,1,1,1,1,1,1,1,1,1
19,2019-10-29,i.gtld-servers.net.,1,1,1,1,1,1,1,1,1
20,2019-10-29,l.gtld-servers.net.,1,1,1,1,1,1,1,1,1
21,2019-10-29,b.gtld-servers.net.,1,1,1,1,1,1,1,1,1
22,2019-10-29,a.gtld-servers.net.,1,1,1,1,1,1,1,1,1
23,2019-10-29,ns1.sonatel.SN.,0,0,0,0,0,0,0,0,0
24,2019-10-29,ns-sn.nic.fr.,0,0,0,0,0,0,0,0,0
25,2019-10-29,censvrns0001.ird.fr.,0,0,0,0,0,0,0,0,0
26,2019-10-29,ns.ucad.SN.,0,0,0,0,0,0,0,0,0
27,2019-10-29,sn.cctld.authdns.ripe.net.,0,0,0,0,0,0,0,0,0
28,2019-10-29,za1.dnsnode.net.,0,0,0,0,0,0,0,0,0
29,2019-10-29,sns-pb.isc.org.,0,0,0,0,0,0,0,0,0
30,2019-10-29,nsza.is.co.ZA.,0,0,0,0,0,0,0,0,0
31,2019-10-29,za-ns.anycast.pch.net.,0,0,0,0,0,0,0,0,0
32,2019-10-29,k.cctld.US.,0,0,0,0,0,0,0,0,0
33,2019-10-29,b.cctld.US.,0,0,0,0,0,0,0,0,0
34,2019-10-29,e.cctld.US.,0,0,0,0,0,0,0,0,0
35,2019-10-29,f.cctld.US.,0,0,0,0,0,0,0,0,0
36,2019-10-29,c.cctld.US.,0,0,0,0,0,0,0,0,0
37,2019-10-29,a.cctld.US.,0,0,0,0,0,0,0,0,0
38,2019-10-29,c.dns.JP.,1,1,1,1,1,1,1,1,1
39,2019-10-29,e.dns.JP.,1,1,1,1,1,1,1,1,1
40,2019-10-29,f.dns.JP.,1,1,1,1,1,1,1,1,1
41,2019-10-29,b.dns.JP.,1,1,1,1,1,1,1,1,1
42,2019-10-29,d.dns.JP.,1,1,1,1,1,1,1,1,1
43,2019-10-29,g.dns.JP.,1,1,1,1,1,1,1,1,1
44,2019-10-29,a.dns.JP.,1,1,1,1,1,1,1,1,1
45,2019-10-29,h.dns.JP.,1,1,1,1,1,1,1,1,1
